protein,ligand,DG_exp,DG_ANI2x(MLE),uncertainty (kcal/mol),DG_GAFF2(MLE),uncertainty (kcal/mol),MAE_ANI2x,MAE_GAFF2
CDK2,m1s,-11.25,-12.28,0.18,-11.20,0.13,1.03,0.05
CDK2,m28,-11.11,-11.52,0.19,-9.84,0.13,0.41,1.27
CDK2,m29,-9.88,-9.78,0.18,-9.86,0.13,0.10,0.02
CDK2,m30,-9.81,-9.62,0.18,-9.94,0.14,0.19,0.13
CDK2,miy,-9.79,-9.26,0.12,-10.04,0.08,0.53,0.25
CDK2,m32,-9.75,-9.40,0.18,-8.58,0.13,0.35,1.17
CDK2,mi9,-9.74,-9.70,0.12,-9.86,0.09,0.04,0.12
CDK2,m31,-9.54,-8.96,0.14,-8.72,0.11,0.58,0.82
CDK2,miu,-9.08,-9.96,0.18,-11.96,0.15,0.88,2.88
CDK2,m20,-8.72,-9.20,0.18,-8.18,0.18,0.48,0.54
CDK2,m26,-8.43,-9.07,0.11,-8.66,0.08,0.64,0.23
CDK2,m1q,-8.18,-9.09,0.15,-8.24,0.12,0.91,0.06
CDK2,m22,-7.86,-5.82,0.30,-7.51,0.23,2.04,0.35
CDK2,m21,-7.83,-6.43,0.31,-6.22,0.25,1.40,1.61
CDK2,m1r,-7.67,-6.50,0.22,-7.78,0.16,1.17,0.11
JNK1,m52,-10.68,-10.51,0.28,-9.08,0.30,0.17,1.60
JNK1,m37,-10.14,-10.22,0.19,-9.80,0.19,0.08,0.34
JNK1,m38,-10.09,-11.03,0.18,-12.01,0.20,0.94,1.92
JNK1,m34,-9.99,-9.73,0.13,-10.93,0.13,0.26,0.94
JNK1,m39,-9.74,-10.84,0.18,-11.91,0.20,1.10,2.17
JNK1,m58,-9.70,-9.18,0.13,-10.99,0.17,0.52,1.29
JNK1,m59,-9.47,-9.38,0.18,-11.52,0.18,0.09,2.05
JNK1,m31,-9.41,-9.65,0.15,-8.66,0.16,0.24,0.75
JNK1,m33,-9.17,-8.42,0.24,-8.20,0.25,0.75,0.97
JNK1,m30,-9.14,-8.86,0.15,-7.24,0.22,0.28,1.90
JNK1,m32,-9.08,-8.68,0.17,-8.65,0.18,0.40,0.43
JNK1,m26,-8.87,-9.09,0.08,-8.43,0.08,0.22,0.44
JNK1,m60,-8.70,-9.16,0.18,-8.53,0.18,0.46,0.17
JNK1,m28,-8.70,-7.69,0.15,-7.55,0.19,1.01,1.15
JNK1,m29,-8.67,-8.91,0.18,-8.78,0.29,0.24,0.11
JNK1,m24,-8.49,-8.01,0.11,-7.49,0.12,0.48,1.00
JNK1,m27,-8.48,-8.69,0.15,-7.86,0.19,0.21,0.62
JNK1,m25,-8.11,-7.62,0.20,-7.60,0.19,0.49,0.51
JNK1,m35,-7.29,-7.25,0.19,-7.67,0.20,0.04,0.38
p38,m2q,-12.26,-13.23,0.23,-10.15,0.17,0.97,2.11
p38,m2l,-12.26,-13.60,0.14,-12.81,0.12,1.34,0.55
p38,mee,-12.26,-10.36,0.18,-12.37,0.15,1.90,0.11
p38,m2u,-12.26,-12.94,0.35,-13.70,0.19,0.68,1.44
p38,m2n,-11.85,-13.18,0.18,-13.01,0.18,1.33,1.16
p38,m2t,-11.85,-10.58,0.18,-12.16,0.15,1.27,0.31
p38,mmk,-11.83,-12.41,0.21,-11.94,0.17,0.58,0.11
p38,mff,-11.44,-10.46,0.18,-10.43,0.16,0.98,1.01
p38,mly,-11.42,-11.01,0.18,-10.27,0.15,0.41,1.15
p38,m2p,-11.20,-11.90,0.19,-11.02,0.14,0.70,0.18
p38,m2s,-11.11,-11.73,0.18,-12.74,0.16,0.62,1.63
p38,m2m,-10.96,-12.68,0.19,-13.11,0.17,1.72,2.15
p38,mln,-10.88,-10.57,0.09,-11.18,0.07,0.31,0.30
p38,mmh,-10.83,-10.26,0.21,-10.32,0.17,0.57,0.51
p38,m2r,-10.79,-12.15,0.18,-12.58,0.14,1.36,1.79
p38,m2e,-10.70,-9.67,0.18,-10.15,0.15,1.03,0.55
p38,mlw,-10.68,-10.83,0.26,-10.85,0.21,0.15,0.17
p38,mgg,-10.66,-10.12,0.18,-11.61,0.13,0.54,0.95
p38,m2g,-10.66,-10.03,0.13,-10.85,0.11,0.63,0.19
p38,m2k,-10.55,-9.39,0.18,-8.50,0.15,1.16,2.05
p38,m2o,-10.49,-10.37,0.19,-11.19,0.15,0.12,0.70
p38,m2c,-10.46,-8.55,0.20,-9.29,0.18,1.91,1.17
p38,m2z,-10.36,-11.24,0.20,-10.01,0.16,0.88,0.35
p38,m2x,-10.23,-10.84,0.21,-9.54,0.16,0.61,0.69
p38,m2j,-10.08,-9.15,0.09,-9.33,0.07,0.93,0.75
p38,m2i,-10.05,-8.94,0.19,-10.38,0.16,1.11,0.33
p38,mlq,-9.93,-10.26,0.22,-9.92,0.18,0.33,0.01
p38,m2y,-9.78,-10.07,0.21,-9.81,0.17,0.29,0.03
p38,mlz,-9.49,-9.53,0.17,-9.66,0.15,0.04,0.17
p38,m2h,-9.48,-9.89,0.18,-6.30,0.13,0.41,3.18
p38,maa,-9.27,-9.17,0.24,-10.05,0.18,0.10,0.78
p38,mbb,-9.06,-10.17,0.29,-9.22,0.18,1.11,0.16
p38,m2v,-8.97,-8.94,0.12,-9.13,0.10,0.03,0.16
p38,m2f,-8.48,-8.21,0.18,-8.90,0.15,0.27,0.42
pfkfb3,m69,-10.71,-10.62,0.11,-10.55,0.11,0.09,0.16
pfkfb3,m55,-10.64,-10.11,0.21,-11.33,0.24,0.53,0.69
pfkfb3,m56,-10.57,-10.13,0.16,-10.53,0.18,0.44,0.04
pfkfb3,m57,-10.47,-9.25,0.16,-10.86,0.21,1.22,0.39
pfkfb3,m52,-10.40,-7.76,0.17,-9.45,0.16,2.64,0.95
pfkfb3,m70,-10.30,-10.46,0.08,-10.30,0.09,0.16,0.00
pfkfb3,m67,-10.24,-9.82,0.18,-11.35,0.20,0.42,1.11
pfkfb3,m35,-10.14,-9.60,0.16,-10.60,0.20,0.54,0.46
pfkfb3,m37,-10.00,-9.82,0.23,-8.40,0.21,0.18,1.60
pfkfb3,m34,-9.97,-10.58,0.20,-9.86,0.23,0.61,0.11
pfkfb3,m68,-9.78,-11.15,0.17,-10.88,0.16,1.37,1.10
pfkfb3,m29,-9.65,-6.91,0.13,-7.28,0.16,2.74,2.37
pfkfb3,m65,-9.49,-8.22,0.12,-8.52,0.14,1.27,0.97
pfkfb3,m64,-9.42,-8.09,0.20,-8.18,0.22,1.33,1.24
pfkfb3,m31,-9.28,-11.16,0.23,-10.60,0.21,1.88,1.32
pfkfb3,m30,-9.20,-12.75,0.17,-9.37,0.21,3.55,0.17
pfkfb3,m26,-9.17,-8.35,0.14,-7.13,0.18,0.82,2.04
pfkfb3,m58,-9.13,-9.28,0.15,-9.49,0.16,0.15,0.36
pfkfb3,m24,-8.87,-9.79,0.17,-6.89,0.17,0.92,1.98
pfkfb3,m38,-8.76,-10.35,0.18,-9.64,0.21,1.59,0.88
pfkfb3,m33,-8.61,-10.32,0.17,-8.59,0.17,1.71,0.02
pfkfb3,m63,-8.56,-7.88,0.12,-8.75,0.15,0.68,0.19
pfkfb3,m20,-8.52,-7.29,0.14,-8.67,0.15,1.23,0.15
pfkfb3,m42,-8.47,-8.57,0.19,-8.83,0.22,0.10,0.36
pfkfb3,m47,-8.33,-6.94,0.16,-7.06,0.18,1.39,1.27
pfkfb3,m54,-8.18,-6.96,0.15,-6.49,0.18,1.22,1.69
pfkfb3,m60,-8.14,-7.51,0.19,-7.77,0.19,0.63,0.37
pfkfb3,m59,-8.12,-6.76,0.17,-8.66,0.18,1.36,0.54
pfkfb3,m48,-8.01,-7.32,0.21,-7.84,0.21,0.69,0.17
pfkfb3,m49,-7.93,-7.98,0.20,-6.72,0.22,0.05,1.21
pfkfb3,m23,-7.91,-9.64,0.16,-7.24,0.16,1.73,0.67
pfkfb3,m46,-7.86,-5.67,0.19,-8.31,0.21,2.19,0.45
pfkfb3,m62,-7.69,-8.54,0.17,-9.95,0.16,0.85,2.26
pfkfb3,m19,-7.55,-9.46,0.19,-7.09,0.16,1.91,0.46
pfkfb3,m36,-7.44,-9.19,0.19,-10.25,0.18,1.75,2.81
pfkfb3,m41,-7.39,-10.39,0.25,-10.09,0.34,3.00,2.70
pfkfb3,m39,-7.20,-7.76,0.20,-7.85,0.18,0.56,0.65
pfkfb3,m53,-7.00,-6.97,0.14,-7.98,0.14,0.03,0.98
tnks2,m5m,-12.69,-11.75,0.09,-10.92,0.12,0.94,1.77
tnks2,m5i,-12.08,-12.34,0.10,-11.67,0.10,0.26,0.41
tnks2,m5o,-12.04,-12.12,0.14,-11.18,0.26,0.08,0.86
tnks2,m3b,-11.52,-10.80,0.15,-11.27,0.16,0.72,0.25
tnks2,m5j,-11.08,-12.45,0.09,-11.76,0.08,1.37,0.68
tnks2,m3a,-11.00,-10.80,0.14,-11.75,0.15,0.20,0.75
tnks2,m5k,-10.96,-10.19,0.10,-10.94,0.11,0.77,0.02
tnks2,m5d,-10.89,-10.28,0.07,-10.88,0.07,0.61,0.01
tnks2,m5g,-10.81,-11.65,0.11,-11.27,0.09,0.84,0.46
tnks2,m5a,-10.76,-10.71,0.06,-10.61,0.06,0.05,0.15
tnks2,m5n,-10.71,-10.19,0.09,-9.22,0.08,0.52,1.49
tnks2,m5p,-10.50,-10.31,0.13,-10.13,0.11,0.19,0.37
tnks2,m5b,-10.47,-12.35,0.09,-10.76,0.09,1.88,0.29
tnks2,m5f,-10.26,-10.70,0.13,-11.19,0.12,0.44,0.93
tnks2,m5e,-10.11,-10.19,0.09,-10.37,0.07,0.08,0.26
tnks2,m5l,-10.09,-11.62,0.12,-11.87,0.10,1.53,1.78
tnks2,m5h,-10.05,-9.67,0.11,-9.89,0.10,0.38,0.16
tnks2,m5c,-9.96,-11.27,0.11,-10.36,0.10,1.31,0.40
tnks2,m1b,-9.94,-9.27,0.11,-9.39,0.09,0.67,0.55
tnks2,m1a,-8.55,-7.82,0.14,-9.67,0.18,0.73,1.12
tnks2,m07,-8.40,-9.28,0.10,-10.64,0.10,0.88,2.24
TYK2,m14,-11.70,-11.30,0.14,-10.59,0.12,0.40,1.11
TYK2,m04,-11.31,-11.35,0.17,-10.15,0.15,0.04,1.16
TYK2,m11,-11.28,-11.76,0.19,-10.73,0.16,0.48,0.55
TYK2,m07,-10.98,-11.08,0.16,-10.16,0.14,0.10,0.82
TYK2,m02,-10.94,-10.52,0.18,-10.49,0.17,0.42,0.45
TYK2,m16,-10.53,-9.96,0.17,-10.98,0.15,0.57,0.45
TYK2,m15,-9.78,-9.93,0.11,-9.39,0.10,0.15,0.39
TYK2,m13,-9.70,-9.50,0.16,-9.91,0.15,0.20,0.21
TYK2,m09,-9.56,-9.17,0.16,-10.32,0.15,0.39,0.76
TYK2,m01,-9.54,-9.57,0.09,-10.12,0.08,0.03,0.58
TYK2,m05,-9.21,-9.30,0.10,-10.75,0.10,0.09,1.54
TYK2,m12,-9.00,-9.74,0.17,-8.38,0.15,0.74,0.62
TYK2,m03,-8.98,-9.04,0.18,-9.73,0.16,0.06,0.75
TYK2,m06,-8.26,-8.57,0.16,-7.80,0.15,0.31,0.46
TYK2,m08,-7.75,-7.56,0.18,-9.75,0.16,0.19,2.00
TYK2,m10,-7.42,-7.65,0.18,-6.74,0.16,0.23,0.68